Заголовок;Ссылка на изображение;car link;Марка;Год;Описание;Кол-во людей;Кол-во дверей;Коробка передач;1-2 дня;3-6 дней;7-14 дней;15-30 дней;1-2 месяца;Залог;rt1;rt2;rt3;rt4;rt5;rt6;limit;orun;ch1;ch2;ch3;ch4;ch5;ch6;ch11;ch12;ch13;ch14;ch15;nolimit;fullprotect;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;class
BMW 520d X-Drive M Sport rest.;https://www.avtomaxi.ru/upload/resize_cache/iblock/e9f/205_134_1/e9f2d8c9f788dbad0fd1b17e759edf25.png;https://www.avtomaxi.ru/park/all/arenda-bmw-520d-x-drive-m-sport-/;BMW;2020;BMW 520d X-Drive M Sport Pure G30 restyling – новейший полноприводный люксовый седан 2021г.;5;5;Aвтомат;12000;11400;10800;10200;9600;30000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;190 л.с. ;232 км/ч;7.6 сек;4.9 л/100 км ;Автоматическая ;Полный;5;4963 мм;530 л;2020;2000;2400;https://www.avtomaxi.ru/upload/resize_cache/iblock/cd5/498_374_1/cd5188f472b285e84f4ffed79076527d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f69/498_374_1/f69890f69f2ef4dd7e0d98614add5b79.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/321/498_374_1/3219939ba982a223da2ce65f07379091.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/694/498_374_1/694da999f8fbff29e0e06fdc6474cecf.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c03/498_374_1/c03b28d637ce050bfbfd501e35d24fd5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9c7/498_374_1/9c7276e8c928a34dd040d82283eb5483.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9a8/498_374_1/9a848cb1a096a807636f656bf1e5d2d0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6cc/498_374_1/6cc778a8e5280c0ba6b5ef292e2767a3.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e89/498_374_1/e89162815e243082e8a98e0a71e9e2cc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a18/498_374_1/a18051a13afdac46d2cec27e99a8f823.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e72/498_374_1/e72c0d187ea424a41b8a9f161e84ea6e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/78d/498_374_1/78d44839aaee675fc150ca15cf3c56f8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/02c/498_374_1/02c4988c334f2fe00f0e85d7e9ea0be0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/894/498_374_1/894944c17735901d90874926c814b3d1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/62c/498_374_1/62cb65d8e7158c7730232a9381acf8f3.JPG;Бизнес
BMW 320 G20;https://www.avtomaxi.ru/upload/resize_cache/iblock/922/205_134_1/922b5722b3e7fc58fca59a38c39d87fa.jpg;https://www.avtomaxi.ru/park/all/bmw-320-g20-arenda/;BMW;2020;Аренда BMW 320 G20 Sport Line 2020г. – эффектный седан с шикарным экстерьером, который поражает своей красотой и напором.;5;4;Aвтомат;7900;7505;7110;6715;6320;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;184 л.с. ;235 км/ч;7.1 с;5.9 л/100 км;Автоматическая;Задний;5;4709 мм;480 л;2020;1500;1600;https://www.avtomaxi.ru/upload/resize_cache/iblock/b81/498_374_1/b81b755379cba3029662e636792e7748.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c94/498_374_1/c9438286ae79e56af4340e13926a96b9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fc5/498_374_1/fc570ac0f549a9a56a54f76017b97e02.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/81b/498_374_1/81b448e639d5a87fab0d63f83e359f12.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4b3/498_374_1/4b343f4bc7a5b8672f112f838c76ee42.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/561/498_374_1/561a57d081d7d10a933885179dade929.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/703/498_374_1/7038dd51d2af9ce848c137338fa40428.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/555/498_374_1/5557584192f6b1656927f1d0f0f1a91b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d05/498_374_1/d051369e7792403ca04fec27370a6c36.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d36/498_374_1/d36ee19ac12c12ba9e72da88d859008c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/317/498_374_1/31700b4707dd123a5af68620e40af906.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a62/498_374_1/a62f47398be764ab1486c08b6157c4a2.JPG;;;;Бизнес
BMW X6 M Sport Pro;https://www.avtomaxi.ru/upload/resize_cache/iblock/582/205_134_1/582c38711f44db12d06561d633f90d98.jpg;https://www.avtomaxi.ru/park/all/arenda-bmw-x6-m-sport-pro/;BMW;2021;BMW G06 X6 xDrive M Sport Pro 2021 г. - кросс купе премиальной марки в шикарной комплектации! Пневмоподвеска, интегральное рулевое управление, проекционный дисплей, активный круиз-контроль, лазерные фары, доводчики дверей, М пакет и т.д.;5;5;Aвтомат;19500;18525;17550;16575;15600;50000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 20 P / км;Дизельный;249 л.с. ;230 км/ч;6.5 с;6.6 л/100 км;Автоматическая;Полный;5;4935 мм;580 л;2021;2800;3500;https://www.avtomaxi.ru/upload/resize_cache/iblock/4aa/498_374_1/4aa29d8816121fcd45e732645895e49f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/795/498_374_1/795494ea6c2a3a818473264b65c1dc6a.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/1fb/498_374_1/1fb71bfb33a8ab4501bfec368f7570c0.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/fb6/498_374_1/fb632465b5f076df3d8e2b338f829dc0.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/0c2/498_374_1/0c2587c3347a7541361f830037b1e396.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/df0/498_374_1/df084e1a357f450679a1dc0ccf8bb944.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e29/498_374_1/e298aa1cb47c5a3ead204d25e4739ec4.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/89d/498_374_1/89d534d583924f08bd3b4ef4b834eb6f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/c9e/498_374_1/c9e1ef55cfb1d48d4eee49e50d55b77f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ac8/498_374_1/ac801fa23f8900f0d75c2ee07a3fe513.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/74e/498_374_1/74e7895adee2da5e1ffe4ff6f4727d21.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/5a7/498_374_1/5a77db4db366ebcad18159a4d307c580.jpg;;;;Премиум
BMW X1 20i xDrive Advantage;https://www.avtomaxi.ru/upload/resize_cache/iblock/048/205_134_1/04838a8dc8b08f3a3b674cbca165b4d6.png;https://www.avtomaxi.ru/park/all/bmw-x1-xdrive-at-new/;BMW;2020;Новейший рестайлинговый BMW X1 20i xDrive AT Advantage 2020г. – кроссовер, с богатым салоном, отделанном кожей, мощным двигателем 192 л.с.;5;4;Aвтомат;8200;7790;7380;6970;6560;20000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Бензиновый;192 л.с. ;223 км/ч;7.4 с;6.4 л/100 км;Автоматическая;Полный;5;4447 мм;505 л;2020;1500;1600;https://www.avtomaxi.ru/upload/resize_cache/iblock/1c9/498_374_1/1c9b7aefbf0e3e3e923db12e1fb756cc.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b7f/498_374_1/b7f9cfb9ce7ee9615f56fa2ae14fccee.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ee0/498_374_1/ee089caf8dc69c2a7469421e59b79a98.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/8b4/498_374_1/8b4f7b19739aa4b2b5a8710863b8f852.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b91/498_374_1/b91d3257aa6d20cb9cc69eb118a4ba0f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/818/498_374_1/81832d277f303d1e6d507f46ba2ed374.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/7a1/498_374_1/7a199e96cd7bd8ba1e9922528b934669.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/789/498_374_1/7890c6b0a933cef0b4e339aceed727f7.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/9a7/498_374_1/9a70b71da84adfc046d2ae335cf21c97.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/bce/498_374_1/bcecd92c3bb81324df428d566b3e5943.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/a7e/498_374_1/a7e11cc72bcdb5defafb179744cbb3b9.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/08e/498_374_1/08ed9d5f70fac1b5459fd1eb2c8711fb.jpg;;;;Внедорожники
Hyundai Grand Starex (H1) rest. 2020;https://www.avtomaxi.ru/upload/resize_cache/iblock/131/205_134_1/1311a6064c056c982e025c18124c0552.jpeg;https://www.avtomaxi.ru/park/all/hyundai-grand-starex-h1-2-5-crdi-at/;Hyundai;2020;Аренда дизельного Hyundai Grand Starex ( H1 ) 2020г. в богатой комплектации с кожаным трансформируемым салоном и экономичным двигателем. Подойдет как для дальних поездок на природу, так и для передвижения в самом городе.;8;5;Aвтомат;8500;8075;7650;7225;6800;20000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;173 л.с. ;180 км/ч;14.4 с;9 л/100 км;Автоматическая;Задний;8;5150 мм;851 л;2020;1500;1700;https://www.avtomaxi.ru/upload/resize_cache/iblock/a65/498_374_1/a65eaa6547797f7c5b43f85321ca458f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/60d/498_374_1/60d602f542db64e725698dc39e6d1190.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/20c/498_374_1/20cd2378676ed603764a4e97d18dcc13.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/af4/498_374_1/af434d4fd5f53281686932fcce585124.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6c5/498_374_1/6c53ab696cd70035ea3625a1ca5a6717.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f8d/498_374_1/f8d7ce1d08bc42237575e30cd034adc5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/803/498_374_1/80397b52f4ae4160dac202a661e5fb90.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/078/498_374_1/0789c45a550f2d9ca94430f53133f2a3.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d54/498_374_1/d54f9cf702507d566e463e12936997fa.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3b3/498_374_1/3b3887fa437e010b9a38399de7a20b89.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b54/498_374_1/b54677385894f560a08b09dc81d86e0c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bb5/498_374_1/bb5ab91ff11be315b447c2025619b707.JPG;;;;Минивены
Mercedes GLS 400D X167;https://www.avtomaxi.ru/upload/resize_cache/iblock/76c/205_134_1/76cf3585f5979b4057d52f969fba9dc7.jpg;https://www.avtomaxi.ru/park/all/arenda-mercedes-gls-400d-x167/;Mercedes;2021;Новейший Mercedes GLS 400D X167 - 7 местный флагман линейки внедорожников Мерседес, вершина технологий, проходимости и комфорта.;7;5;Aвтомат;23000;21850;20700;19550;18400;80000;Водительский стаж не менее 2-x лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 35 P / км;Дизельный;330 л.с.;238 км/ч;6,3 сек;7.9 л/100 км;Автоматическая;Полный;5207 мм;355/2400 л.;7;2021;3300;4500;https://www.avtomaxi.ru/upload/resize_cache/iblock/6c4/498_374_1/6c47a3bb72116cb4bf57f1e74734a1d0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d9b/498_374_1/d9b16f2dc667882eabbb99e76da43339.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bc7/498_374_1/bc765109fbdba8f1d71e8c3d6efd1c2f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/347/498_374_1/3475865699caafff09a3b8a89352c880.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d36/498_374_1/d36ffa0993a4c268a078f662310ee66f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/af6/498_374_1/af6e8a7e68c787393e25ba856614286d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/097/498_374_1/09762bc4fe58273cfe596d99c0fc62a8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/54f/498_374_1/54f2f5f6941a8de3006e4ee57a37c8ce.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/edc/498_374_1/edc7205d7cd838363117ee6601646d82.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c5d/498_374_1/c5d3ac835e4c347bc45c4ba12cf04794.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b33/498_374_1/b3367d78452be506140b6f22da1eefb0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d5c/498_374_1/d5c44b202c949380ccbf1f00e888a562.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/227/498_374_1/2276a149d6a7c57a18bd6b95a8caaa0f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1cc/498_374_1/1cc8c9d93b66908e222ddcd7e1c7b1c5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/20f/498_374_1/20f7a49e55318b9ba97380a9354d1e5c.JPG;Премиум
Volkswagen Tiguan II rest.2021;https://www.avtomaxi.ru/upload/resize_cache/iblock/833/205_134_1/83309d4b790c3ed5de39728792c56291.jpg;https://www.avtomaxi.ru/park/all/volkswagen-tiguan/;Volkswagen;2021;Volkswagen Tiguan второго поколения после рестайлинга – автомобиль, который является идеальным спутником как в городе, так и на бездорожье.;5;5;Aвтомат;6800;6460;6120;5780;5440;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;150 л.с. ;195 км/ч;9,3 сек;6.1 л/100 км;;Автоматическая;Передний;4509 мм;615 л.;2021;1200;1400;https://www.avtomaxi.ru/upload/resize_cache/iblock/269/498_374_1/269288f4d7f8ca0c74135c3999561b81.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/057/498_374_1/0571c6d8b2bbddd5a95d1936ba4f2628.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c5a/498_374_1/c5a52cc11a412e04564e8fbd091b4d59.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a12/498_374_1/a124f06fabbdc1008d3253f4fb0630d0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a0b/498_374_1/a0b141db489f55d98026b52b58fd76b4.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/43f/498_374_1/43fbcdb226ee7179b8505494fd06bf25.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0ed/498_374_1/0ed37fefe7de86e39aa1e5c99085f195.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/102/498_374_1/102df7b40030474c55ba3f8949fb2373.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4a6/498_374_1/4a63d3783678573e9930d48b45e445b8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fc0/498_374_1/fc04d89faa2840a739e62d841dde0085.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3c3/498_374_1/3c3aa7eb8a2c6b24f489b7c707412d71.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bc1/498_374_1/bc14b5a3c1e04bc768ffdf9bbf50d5c7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b34/498_374_1/b342d73307ea6b5777bb6fb9514b68d7.JPG;;;Внедорожники
BMW 218 Gran Coupe;https://www.avtomaxi.ru/upload/resize_cache/iblock/3d9/205_134_1/3d9f18e5d8aec50a7484d5516578349b.png;https://www.avtomaxi.ru/park/all/bmw-218-gran-coupe/;BMW;2020;Аренда BMW 218 Gran Coupe 2020г. – эффектное спортивное купе с шикарным экстерьером, который поражает своей красотой и напором. Прямой конкурент Mercedes CLA;5;4;Aвтомат;6900;6555;6210;5865;5520;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;140 л.с. ;233 км/ч;8.7 с;6.5 л/100 км;Автоматическая;Передний;5;4526 мм;380 л;2020;1200;1400;https://www.avtomaxi.ru/upload/resize_cache/iblock/162/498_374_1/1628cbc073ed95d1bd483cbe80fa2598.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9d2/498_374_1/9d2235d9bafa0b53c40b9dd49b99466f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2db/498_374_1/2db315643d5e93a4620a93c17a571e23.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d01/498_374_1/d012a2dd796ee45e09f7486757608ba8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/df7/498_374_1/df74c52738341e65d0f224ecd1d6ae65.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/54a/498_374_1/54ad127b0990e6f4c5f5e0da91854958.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ab1/498_374_1/ab1d4a88dc075567e7312b861d866a3e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/27a/498_374_1/27abc332c385ddc6976aa64743804487.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/011/498_374_1/01106cb011bd1f1ef4236a9e72678e0c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/899/498_374_1/89985fdedbf2e7825cdb5aeb310368b1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3ba/498_374_1/3bad238e1ee24dd31ae2b66a32d0e1eb.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2d1/498_374_1/2d1f45dca4010fe48134f1bf9cececf8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e96/498_374_1/e9658307f1ea4d0dfcc22bb728ad7131.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/884/498_374_1/884db3ad178eca1de435e43f2a779ee7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/089/498_374_1/089c510f4821b368248da06c6d08ea96.JPG;Бизнес
BMW 520d Executive G30 rest.;https://www.avtomaxi.ru/upload/resize_cache/iblock/d3e/205_134_1/d3ea58bd9afcee279343c9ca6c37c512.png;https://www.avtomaxi.ru/park/all/bmw-520d-executive-g30-rest/;BMW;2021;BMW 520d G30 restyling – новейший люксовый седан 2021г. в комплектации Executive с навигацией и камерой ЗВ.;5;5;Aвтомат;10640;10108;9576;9044;8512;30000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;190 л.с. ;232 км/ч;7.6 сек;4.9 л/100 км ;Автоматическая ;Задний;5;4963 мм;530 л;2021;2000;2200;https://www.avtomaxi.ru/upload/resize_cache/iblock/d7c/498_374_1/d7cc4d95c97c56ae4adb3bad0b352073.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bff/498_374_1/bfff8ceee57084c32e21021866112d45.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7f6/498_374_1/7f6b03c2d9fe5b6d022a19c1b03048c7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d3f/498_374_1/d3f2a75b4c2171ee98a99a72cb2b1ddc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/73b/498_374_1/73b23a7da0f09724df0ea2687a8c9009.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9e0/498_374_1/9e055580a65997a9e782518af6fffbbf.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/081/498_374_1/081665212fff6bf326d386ec554defdf.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b20/498_374_1/b20bcb53d69e9b7595b16c2e7d7b37a6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/22c/498_374_1/22c1335e6341a0034a4870ae3f6eb792.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ee8/498_374_1/ee89f0f6b78ea40932f487baeb552545.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/679/498_374_1/679a4c624b9355ba66523b0650da05ad.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1af/498_374_1/1af07bd0a47818f5384c1902fc8b4d69.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/501/498_374_1/501f720463f746fb8ef6f34f0a5ba8ec.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/943/498_374_1/9435c9b3b064f290e09d408cc2eb738d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3f6/498_374_1/3f6edd60e07dc5e828a8e6090af79123.JPG;Бизнес
Mercedes E200 AMG rest.2021;https://www.avtomaxi.ru/upload/resize_cache/iblock/232/205_134_1/232571cf7d23404a035078f30457f96d.png;https://www.avtomaxi.ru/park/all/arenda-mercedes-e200-amg-rest-2021/;Mercedes;2021;Аренда Mersedes E-class W213 restyling 2021 года, в богатой комплектации E200 Sport в новейшем кузове с бензиновым двигателем и в AMG стайлинге.;5;4;Aвтомат;11500;10925;10350;9775;9200;30000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Бензиновый;197 л.с.;240 км/ч;7.5 с;6.9 л/100 км;Автоматическая;Задний;5;4935 мм;540 л;2021;2000;2400;https://www.avtomaxi.ru/upload/resize_cache/iblock/40e/498_374_1/40ec39ea1929bb242680f904204f6859.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1a0/498_374_1/1a05d5eb2cf6a9a220ca2959ed43313a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ef1/498_374_1/ef11f2ce17df8df6dad1d476a359827d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/aea/498_374_1/aea3c4b6455da035489490baf675de5e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/349/498_374_1/3498feefe014649db650a3d183e0e219.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f64/498_374_1/f64e40fd06a564027eccd535b5366d4e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/98c/498_374_1/98cc72f9180123aec11bb10b9d7c84b2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e2c/498_374_1/e2c8ccf66c30615a762f75fb8d2d5e3f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/083/498_374_1/0835fe355038e575d32eb700ade55ffb.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/569/498_374_1/569e6cc2c12c917d41af6333a1decd32.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/231/498_374_1/231a65f170ce132bef4f6ea50bf8ee5e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/af7/498_374_1/af76bf42171ad49c0539c194f73932ae.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/439/498_374_1/439ab948d11b675cd480f9cc34645d63.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e10/498_374_1/e100ff550168f03e76a96cb4f5b314a8.JPG;;Бизнес
